index,patient_id,ch_names,x,y,z,anodes,cathodes
0,p06,TB'_1_2,-0.0229597354219974,-0.0230906541405439,-0.0241478630036165,TB'1,TB'2
1,p06,TB'_2_3,-0.0267569521528576,-0.0232728975813387,-0.0239751382078089,TB'2,TB'3
2,p06,TB'_3_4,-0.0306162610105692,-0.023385998791441,-0.0238302382178117,TB'3,TB'4
3,p06,TB'_4_5,-0.034348610267741,-0.0235837786999683,-0.0235870604059688,TB'4,TB'5
4,p06,TB'_5_6,-0.0380081950835843,-0.023758089900873,-0.0233617281024472,TB'5,TB'6
5,p06,TB'_6_7,-0.0417299405254002,-0.0237288892894846,-0.023097883896926,TB'6,TB'7
6,p06,TB'_7_8,-0.0454447709703392,-0.0237394242722565,-0.0226320932442192,TB'7,TB'8
7,p06,TB'_8_9,-0.0492563543377568,-0.0238419178468219,-0.02214397481531,TB'8,TB'9
8,p06,TB'_9_10,-0.0531844162961087,-0.0239176985283999,-0.0218358475294454,TB'9,TB'10
9,p06,TB'_10_11,-0.0570493409965074,-0.0240880555900357,-0.0215846681083272,TB'10,TB'11
10,p06,TB'_11_12,-0.0607323700851153,-0.0243856773639466,-0.0212949649548767,TB'11,TB'12
11,p06,TB'_12_13,-0.0645312736341382,-0.0245856341413517,-0.0211317953948991,TB'12,TB'13
12,p06,TB'_13_14,-0.0684518672170773,-0.0246939882381794,-0.0210868821152898,TB'13,TB'14
13,p06,TP'_1_2,-0.0227506119267235,0.000652013079359,-0.0408571367011687,TP'1,TP'2
14,p06,TP'_2_3,-0.0264200355510347,0.0004959483319533,-0.0406749234374187,TP'2,TP'3
15,p06,TP'_3_4,-0.030189350476462,0.000330322934939,-0.0405200134015879,TP'3,TP'4
16,p06,TP'_4_5,-0.0338913067779047,6.360312839974856e-05,-0.0404735469748863,TP'4,TP'5
17,p06,TP'_5_6,-0.0375834266630827,-0.0001806782169362,-0.0404186848376831,TP'5,TP'6
18,p06,TP'_6_7,-0.0412730770762397,-0.0003659391511554,-0.0404123432286583,TP'6,TP'7
19,p06,TP'_7_8,-0.0449613661186212,-0.0005633554657897,-0.04052712632148,TP'7,TP'8
20,p06,TP'_8_9,-0.0486531928457052,-0.0009503782573445,-0.0406253159391992,TP'8,TP'9
21,p06,TP'_9_10,-0.0522671685468118,-0.0014355192641364,-0.0412339141870647,TP'9,TP'10
22,p06,C_1_2,0.0269109165425763,-0.0255632620521844,-0.0143470413936105,C1,C2
23,p06,C_2_3,0.0307176632966936,-0.025472322013384,-0.0137616308022335,C2,C3
24,p06,C_3_4,0.0344856807576002,-0.0252873079633461,-0.0131111142767007,C3,C4
25,p06,C_4_5,0.0382676747079264,-0.0249329597748795,-0.0125735584892866,C4,C5
26,p06,C_5_6,0.0421251976363587,-0.0247172222552647,-0.0120186447648677,C5,C6
27,p06,C_6_7,0.0459584794699,-0.0245801202668881,-0.0115128967068628,C6,C7
28,p06,C_7_8,0.0498150959884231,-0.0244218081934635,-0.0111916691199535,C7,C8
29,p06,C_8_9,0.0537211164880829,-0.0243520404232289,-0.0108941759546023,C8,C9
30,p06,C_9_10,0.0575868241212874,-0.0242915662385045,-0.0106963374247971,C9,C10
31,p06,C_10_11,0.0615204282768842,-0.0243198096260697,-0.0105413632303762,C10,C11
32,p06,C_11_12,0.0654570112584322,-0.0243016391547683,-0.0103068660435132,C11,C12
33,p06,C'_1_2,-0.0250727730094221,-0.0269717578609289,-0.0125599243453319,C'1,C'2
34,p06,C'_2_3,-0.0287783733419006,-0.0278881603535881,-0.012267866417821,C'2,C'3
