% variance explained,predictors,conditions,patient,chanels,nature
-4.4414803365758395,envelope,6l,p01,p01_B_3_4,real
-7.190464775431191,envelope,6l,p01,p01_B_4_5,real
-3.1543740687845303,envelope,6l,p01,p01_B_5_6,real
-5.224273421441239,envelope,6l,p01,p01_GPH_7_8,real
2.13555762208807,envelope,6l,p01,p01_H_2_3,real
3.96656006928885,envelope,6l,p01,p01_H_8_9,real
9.18382406484059,envelope,6l,p01,p01_H_9_10,real
3.86791550676496,envelope,6l,p01,p01_H_10_11,real
9.09514443793919,envelope,6l,p01,p01_H_11_12,real
17.62947078217405,envelope,6l,p01,p01_H_12_13,real
-1.16987799432269,envelope,6l,p01,p01_H_13_14,real
9.70070724354283,envelope,6l,p01,p01_OF_6_7,real
-0.7949899370243599,envelope,6l,p01,p01_T_1_2,real
14.113395112160172,envelope,6l,p01,p01_T_2_3,real
10.19032836972738,envelope,6l,p01,p01_T_3_4,real
15.703288346856839,envelope,6l,p01,p01_T_4_5,real
15.12716369150511,envelope,6l,p01,p01_T_5_6,real
15.09720606870149,envelope,6l,p01,p01_T_6_7,real
20.746914195422182,envelope,6l,p01,p01_T_7_8,real
3.1558857965535703,envelope,6l,p01,p01_TB_3_4,real
5.16564651723189,envelope,6l,p01,p01_TB_4_5,real
3.30557610659886,envelope,6l,p01,p01_TB_5_6,real
-6.01494046956483,envelope,6l,p01,p01_TB_11_12,real
-9.379910431082731,envelope,6m,p01,p01_A_3_4,real
-7.34235317029982,envelope,6m,p01,p01_A_4_5,real
8.29944869692101,envelope,6m,p01,p01_A_9_10,real
7.802659903476631,envelope,6m,p01,p01_A_10_11,real
-13.90238869262483,envelope,6m,p01,p01_B_1_2,real
-6.95731788174702,envelope,6m,p01,p01_B_2_3,real
-12.51923692995716,envelope,6m,p01,p01_B_3_4,real
-8.49365210981236,envelope,6m,p01,p01_B_4_5,real
-4.66925634862947,envelope,6m,p01,p01_B_5_6,real
1.15084572845781,envelope,6m,p01,p01_GPH_7_8,real
7.10056229504976,envelope,6m,p01,p01_H_2_3,real
10.77296063488196,envelope,6m,p01,p01_H_8_9,real
16.294026982729783,envelope,6m,p01,p01_H_9_10,real
5.31089544642617,envelope,6m,p01,p01_H_10_11,real
12.90775155899654,envelope,6m,p01,p01_H_11_12,real
29.66558178244685,envelope,6m,p01,p01_H_12_13,real
4.3193756615449805,envelope,6m,p01,p01_H_13_14,real
23.24480149661376,envelope,6m,p01,p01_OF_6_7,real
6.34648563648598,envelope,6m,p01,p01_T_1_2,real
17.162568932068208,envelope,6m,p01,p01_T_2_3,real
